K,N,bound,failed,max_error,rounds,seed,trial
32,1024,0.10511107610798887,False,0.04218119959677419,65536,5320081,81
32,1024,0.10511107610798887,False,0.03959803427419356,65536,5320082,82
32,1024,0.10511107610798887,False,0.035954847416166,65536,5320083,83
32,1024,0.10511107610798887,False,0.041677167338709686,65536,5320084,84
32,1024,0.10511107610798887,False,0.04125151314574871,65536,5320085,85
32,1024,0.10511107610798887,False,0.03330185972693095,65536,5320086,86
32,1024,0.10511107610798887,False,0.04110826256251893,65536,5320087,87
32,1024,0.10511107610798887,False,0.04136214717741937,65536,5320088,88
32,1024,0.10511107610798887,False,0.03224341165326772,65536,5320089,89
32,1024,0.10511107610798887,False,0.03907571052289288,65536,5320090,90
32,1024,0.10511107610798887,False,0.03596904135267365,65536,5320091,91
32,1024,0.10511107610798887,False,0.03344878172098947,65536,5320092,92
32,1024,0.10511107610798887,False,0.03688886088709675,65536,5320093,93
32,1024,0.10511107610798887,False,0.04125485675203916,65536,5320094,94
32,1024,0.10511107610798887,False,0.036983366935483875,65536,5320095,95
32,1024,0.10511107610798887,False,0.03701441002525929,65536,5320096,96
32,1024,0.10511107610798887,False,0.0339365220935014,65536,5320097,97
32,1024,0.10511107610798887,False,0.03206905241935487,65536,5320098,98
32,1024,0.10511107610798887,False,0.0644211312770635,65536,5320099,99
32,1024,0.10511107610798887,False,0.03830645161290325,65536,5320100,100
32,1024,0.10511107610798887,False,0.03002142137096775,65536,5320101,101
32,1024,0.10511107610798887,False,0.03666031556300553,65536,5320102,102
32,1024,0.10511107610798887,False,0.05849924395161288,65536,5320103,103
32,1024,0.10511107610798887,False,0.03687348685425135,65536,5320104,104
32,1024,0.10511107610798887,False,0.03216355846774194,65536,5320105,105
32,1024,0.10511107610798887,False,0.038684475806451624,65536,5320106,106
32,1024,0.10511107610798887,False,0.04759954637096775,65536,5320107,107
32,1024,0.10511107610798887,False,0.040796782690242006,65536,5320108,108
32,1024,0.10511107610798887,False,0.04108066142039546,65536,5320109,109
32,1024,0.10511107610798887,False,0.02995858124097886,65536,5320110,110
32,1024,0.10511107610798887,False,0.0415196572580645,65536,5320111,111
32,1024,0.10511107610798887,False,0.035935343046138046,65536,5320112,112
32,1024,0.10511107610798887,False,0.04170866935483869,65536,5320113,113
32,1024,0.10511107610798887,False,0.041866179435483875,65536,5320114,114
32,1024,0.10511107610798887,False,0.043354903746097795,65536,5320115,115
32,1024,0.10511107610798887,False,0.036100818777063504,65536,5320116,116
32,1024,0.10511107610798887,False,0.039554174026971256,65536,5320117,117
32,1024,0.10511107610798887,False,0.033009458078782195,65536,5320118,118
32,1024,0.10511107610798887,False,0.0333760418939445,65536,5320119,119
32,1024,0.10511107610798887,False,0.03309596569643508,65536,5320120,120
